brand,operating_system,RAM_nth,storage_nth,storage_type,cpu_benchmark,gpu_class,screen_size,PPI,warranty,refurbished,price
LENOVO,WINDOWS,4,9,SSD,21142,2,16,189,3,NO,1767.99
DELL,WINDOWS,4,9,SSD,27127,2,15.6,290,3,NO,3311.49
DELL,WINDOWS,4,9,SSD,27127,2,17,266,3,NO,4004.49
DELL,WINDOWS,5,9,SSD,23392,2,15.6,290,3,NO,3623.99
DELL,WINDOWS,5,9,SSD,23392,2,17,266,3,NO,4630.49
DELL,WINDOWS,5,9,SSD,22413,2,17,266,3,NO,3977.49
LENOVO,WINDOWS,4,9,SSD,21142,2,15.6,141,3,NO,2896.49
HP,WINDOWS,5,9,SSD,21223,2,15.6,141,3,NO,2579.49
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,2110.49
LENOVO,WINDOWS,4,9,SSD,21223,2,17.3,127,3,NO,2118.49
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,1935.99
HP,WINDOWS,4,9,SSD,21223,2,17.3,127,3,NO,2019.49
LENOVO,WINDOWS,4,9,SSD,21142,2,16,189,3,NO,1694.49
LENOVO,WINDOWS,4,9,SSD,16133,2,15.6,141,3,NO,1997.49
LENOVO,WINDOWS,4,9,SSD,21223,2,16,189,3,NO,1553.49
HP,WINDOWS,5,9,SSD,21223,2,15.6,141,3,NO,2055.49
HP,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,1960.99
DELL,WINDOWS,4,9,SSD,21223,2,17.3,127,3,NO,2618.99
HP,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,1822.49
DELL,WINDOWS,3,9,SSD,10076,2,15.6,141,3,NO,1410.49
DELL,WINDOWS,4,9,SSD,10505,2,15.6,141,3,NO,1436.99
DELL,WINDOWS,5,9,SSD,12906,2,15.6,141,3,NO,2073.49
DELL,WINDOWS,4,9,SSD,13087,2,15.6,141,3,NO,1738.99
DELL,WINDOWS,4,9,SSD,13897,2,15.6,141,3,NO,1437.49
LENOVO,WINDOWS,4,9,SSD,16015,2,15.6,141,3,NO,1681.99
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,1854.99
DELL,WINDOWS,4,9,SSD,22343,2,15.6,141,3,NO,1853.99
DELL,WINDOWS,4,9,SSD,27127,2,15.6,141,3,NO,2113.99
CHILLBLAST,WINDOWS,3,9,SSD,27127,2,14,210,3,NO,1559.99
CHILLBLAST,WINDOWS,4,9,SSD,27127,2,14,210,3,NO,1595.99
ASUS,CHROMEOS,3,6,EMMC,1115,4,15.6,141,0,NO,389.99
ACER,CHROMEOS,2,6,EMMC,3343,4,13.3,166,1,NO,386.49
ASUS,WINDOWS,2,6,EMMC,1115,4,11.6,127,0,NO,252.49
OTHER,WINDOWS,2,6,EMMC,1952,4,12.5,117,0,NO,99.99
ASUS,CHROMEOS,3,6,SSD,2152,4,15.6,141,1,NO,442.49
APPLE,MACOS,3,8,SSD,14543,3,13,224,1,NO,933.49
APPLE,MACOS,3,8,SSD,14543,3,13,224,1,NO,920.99
APPLE,MACOS,3,9,SSD,14543,3,13,224,1,NO,1189
APPLE,MACOS,4,9,SSD,14543,3,13,227,1,NO,1689
APPLE,MACOS,3,8,SSD,14543,3,13,227,1,NO,999
APPLE,MACOS,3,8,SSD,15180,3,13.6,224,1,NO,1169
APPLE,MACOS,3,8,SSD,15180,3,13.6,224,1,NO,1175
APPLE,MACOS,3,8,SSD,15180,3,13,227,1,NO,1278.97
APPLE,MACOS,3,8,SSD,15180,3,13,227,1,NO,1279
APPLE,MACOS,3,8,SSD,15180,3,13.6,224,1,NO,1175
APPLE,MACOS,3,8,SSD,15180,3,13.6,224,1,NO,1179
APPLE,MACOS,3,9,SSD,15180,3,13.6,224,1,NO,1449
APPLE,MACOS,3,9,SSD,15180,3,13,227,1,NO,1449
APPLE,MACOS,3,9,SSD,15180,3,13,227,1,NO,1449
APPLE,MACOS,3,9,SSD,15180,3,13.6,224,1,NO,1449
APPLE,MACOS,3,9,SSD,15180,3,13.6,224,1,NO,1448.98
APPLE,MACOS,3,8,SSD,14543,3,13,224,1,NO,1589
HP,WINDOWS,4,9,SSD,10505,2,14,157,3,NO,1202.99
HP,WINDOWS,4,9,SSD,10505,2,15.6,141,3,NO,1221.99
DELL,WINDOWS,4,9,SSD,17845,2,14,157,3.25,NO,1371.49
LENOVO,WINDOWS,4,9,SSD,10076,2,15.6,141,3,NO,1379.99
LENOVO,WINDOWS,3,9,SSD,27127,2,16,189,0,NO,1599.97
LENOVO,WINDOWS,5,9.965784285,SSD,36511,1,16,189,0,NO,2299.97
LENOVO,WINDOWS,5,9.965784285,SSD,27127,1,15.6,188,0,NO,1899.97
LENOVO,WINDOWS,3,9,SSD,27127,1,15.6,188,0,NO,1699.97
MSI,WINDOWS,5,9.965784285,SSD,27127,2,17.3,127,2,NO,2659.99
LENOVO,WINDOWS,5,9.965784285,SSD,32359,1,16,189,0,NO,2899.97
LENOVO,WINDOWS,4,9,SSD,17210,2,16,154,3,NO,1644.99
ASUS,WINDOWS,2,7,EMMC,3056,4,11.6,127,0,YES,223.99
ASUS,WINDOWS,2,7,SSD,5086,3,14,157,1,YES,257.99
LENOVO,WINDOWS,2,7,SSD,2370,4,14,105,1,YES,259.99
ACER,WINDOWS,3,7,SSD,6376,3,14,105,1,YES,389.49
FUJITSU,WINDOWS,4,9.965784285,SSD,10837,3,13.3,166,2,YES,1235.99
ASUS,WINDOWS,4,8,SSD,5925,3,13.3,166,1,YES,429.99
ASUS,WINDOWS,3,8,SSD,7607,3,15.6,141,1,YES,372.49
ASUS,WINDOWS,3,8,SSD,7607,3,14,157,1,YES,399.99
MSI,WINDOWS,3,8,SSD,10076,3,14,157,1,YES,342.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,YES,610.49
LENOVO,WINDOWS,3,8,SSD,1522,4,15.6,141,0,YES,259.49
LENOVO,WINDOWS,3,8,SSD,2243,3,14,105,0,YES,157.49
LENOVO,WINDOWS,3,8,SSD,3172,3,12.5,125,0,YES,182.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,YES,451.49
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,1,YES,633.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,YES,455.99
ASUS,WINDOWS,3,8,SSD,10076,3,15.6,141,0,YES,490.99
HP,WINDOWS,3,8,SSD,5925,3,14,157,0,YES,643.49
LENOVO,WINDOWS,3,8,SSD,5925,3,15.6,141,0,YES,544.49
DYNABOOK,WINDOWS,4,8,SSD,10505,3,14,157,1,YES,839.99
DYNABOOK,WINDOWS,4,8,SSD,10076,3,13.3,166,1,YES,881.49
LENOVO,WINDOWS,3,8,SSD,11071,3,15.6,141,1,YES,508.99
OTHER,WINDOWS,4,8,SSD,5199,3,13,266,1,YES,634.49
ASUS,WINDOWS,3,8,SSD,10076,3,15.6,141,0,YES,410.99
LENOVO,WINDOWS,3,8,SSD,7607,3,14,157,1,YES,550.99
DELL,CHROMEOS,2,5,EMMC,1572,4,11.6,127,1,YES,111.99
OTHER,CHROMEOS,2,5,EMMC,1410,4,15.6,141,0,YES,219.49
LENOVO,CHROMEOS,2,5,EMMC,1572,4,11.6,127,1,YES,108.49
ACER,WINDOWS,4,9,SSD,10505,3,14,157,1,YES,749.99
ASUS,WINDOWS,4,9,SSD,10076,3,15.6,141,1,YES,482.49
ASUS,WINDOWS,4,9,SSD,10505,3,14,157,1,YES,785.49
MSI,WINDOWS,4,9,SSD,10076,3,14,157,1,YES,630.99
OTHER,WINDOWS,4,9,SSD,14711,3,16.1,137,1,YES,562.49
ASUS,WINDOWS,3,9,SSD,7607,3,13.3,166,1,YES,581.49
ASUS,WINDOWS,3,9,SSD,7607,3,15.6,141,1,YES,356.49
MSI,WINDOWS,3,9,SSD,10076,3,15.6,141,0,YES,419.99
ASUS,WINDOWS,3,9,SSD,10076,3,14,157,1,YES,426.49
ACER,WINDOWS,3,9,SSD,7607,3,15.6,141,1,YES,376.49
LENOVO,WINDOWS,4,9,SSD,10505,3,15.6,141,1,YES,728.99
LENOVO,WINDOWS,4,9,SSD,10505,3,14,157,1,YES,721.49
ASUS,WINDOWS,3,9,SSD,10076,3,15.6,141,0,YES,465.99
ASUS,WINDOWS,3,9,SSD,10076,3,15.6,141,2,YES,417.99
LENOVO,WINDOWS,4,9,SSD,3642,3,14,157,0,YES,497.99
LENOVO,WINDOWS,4,9,SSD,18356,3,14,157,1,YES,914.99
DYNABOOK,WINDOWS,2,6,EMMC,1572,4,11.6,127,1,YES,179.49
LENOVO,CHROMEOS,2,6,EMMC,1572,4,11.6,127,1,YES,255.99
OTHER,WINDOWS,1,6,EMMC,1410,4,14,157,1,YES,148.99
ASUS,CHROMEOS,3,6,EMMC,2951,4,14,157,1,YES,386.99
LENOVO,WINDOWS,2,6,EMMC,2474,3,11.6,127,1,YES,127.99
LENOVO,WINDOWS,2,6,EMMC,1572,4,11.6,127,1,YES,124.99
ASUS,WINDOWS,2,6,EMMC,1572,4,14,105,1,YES,124.49
LENOVO,WINDOWS,2,7,EMMC,5734,4,10.1,224,1,NO,342.49
LENOVO,CHROMEOS,4,7,EMMC,5988,3,15.6,282,1,NO,599.97
GEO,WINDOWS,2,7,EMMC,1572,4,10.1,224,1,NO,289.99
GEO,WINDOWS,2,7,EMMC,1572,4,10.1,224,1,NO,299.99
GEO,WINDOWS,2,7,EMMC,2695,4,12.2,241,1,NO,379.99
OTHER,WINDOWS,2,7,EMMC,3343,4,14,157,1,NO,397.49
ACER,WINDOWS,2,7,SSD,3056,4,14,157,1,NO,279.99
ACER,WINDOWS,2,7,SSD,3056,4,14,157,1,NO,279.99
LENOVO,WINDOWS,2,7,SSD,3995,3,14,157,1,NO,199.97
LENOVO,WINDOWS,2,7,SSD,7577,3,15.6,141,1,NO,349.97
ASUS,WINDOWS,2,7,SSD,3995,3,14,157,1,NO,239.99
LENOVO,WINDOWS,2,7,SSD,2154,3,14,157,1,NO,199.99
LENOVO,WINDOWS,2,7,SSD,6242,3,15.6,141,1,NO,299.97
ASUS,WINDOWS,2,7,SSD,6242,3,14,157,1,NO,329.99
LENOVO,WINDOWS,2,7,SSD,2370,4,17.3,95,1,NO,299.97
LENOVO,WINDOWS,2,7,SSD,5086,3,15.6,141,1,NO,429.99
HP,WINDOWS,3,7,SSD,9908,3,14,157,1,NO,529.99
HP,WINDOWS,2,7,SSD,5287,3,14,157,1,NO,399.99
LENOVO,WINDOWS,2,7,SSD,6242,3,14,157,1,NO,429.99
LENOVO,WINDOWS,2,7,SSD,6242,3,14,157,1,NO,299.97
HP,WINDOWS,2,7,SSD,5287,3,17.3,127,1,NO,359.99
LENOVO,WINDOWS,2,7,SSD,6242,3,14,157,1,NO,429.99
GEO,WINDOWS,2,7,SSD,1572,4,14.1,156,0,NO,329.99
GEO,WINDOWS,2,7,SSD,1572,4,14.1,156,0,NO,289.99
LENOVO,WINDOWS,3,7,SSD,2517,4,11.6,127,1,NO,326.99
DYNABOOK,WINDOWS,2,7,SSD,548,4,14,112,1,NO,224.99
LENOVO,WINDOWS,2,7,SSD,2517,4,11.6,127,1,NO,391.99
LENOVO,CHROMEOS,3,7,SSD,5214,3,13.3,166,1,NO,644.99
LENOVO,WINDOWS,2,7,SSD,2720,3,11.6,127,1,NO,376.99
LENOVO,WINDOWS,2,7,SSD,2720,3,14,157,1,NO,393.99
LENOVO,WINDOWS,2,7,SSD,2720,3,11.6,127,1,NO,375.99
LENOVO,WINDOWS,2,7,SSD,3048,4,15.6,141,1,NO,323.79
AVITA,WINDOWS,3,7,SSD,7088,3,14,157,0,NO,490
GEO,WINDOWS,2,7,SSD,3980,3,14.1,156,1,NO,371.48
ACER,WINDOWS,2,7,SSD,1964,4,14,157,1,NO,299.99
ACER,WINDOWS,2,7,SSD,3056,4,14,157,1,NO,429.99
ACER,WINDOWS,2,7,SSD,3056,4,14,157,1,NO,429.99
ASUS,CHROMEOS,3,7,SSD,6242,3,15.6,141,0,NO,642.99
ACER,WINDOWS,2,7,SSD,1964,4,14,157,1,NO,299.99
ACER,WINDOWS,2,7,SSD,5086,3,15.6,141,1,NO,379.49
ACER,CHROMEOS,3,7,SSD,3980,3,13.5,201,1,NO,626.99
DYNABOOK,WINDOWS,2,7,SSD,1440,4,14,157,1,NO,149.99
HP,CHROMEOS,2,4,EMMC,869,4,11.6,127,1,NO,342.49
HP,CHROMEOS,2,4,EMMC,1572,4,11.6,127,1,NO,104.99
ASUS,WINDOWS,4,9.965784285,SSD,21366,3,15.6,141,1,NO,899.99
ASUS,WINDOWS,4,9.965784285,SSD,21366,3,15.6,141,1,NO,929.99
ACER,WINDOWS,3,9.965784285,SSD,11071,3,15.6,141,1,NO,659.99
ASUS,WINDOWS,4,9.965784285,SSD,10505,3,14,243,0,NO,1045.66
ASUS,WINDOWS,4,9.965784285,SSD,11966,3,15.6,141,1,NO,899.99
ACER,WINDOWS,3,9.965784285,SSD,11966,3,16.1,137,0,NO,899.99
ACER,WINDOWS,2,8,SSD,3056,4,14,157,0,NO,439.99
ACER,WINDOWS,2,8,SSD,3056,4,14,157,0,NO,399.99
LENOVO,WINDOWS,3,8,SSD,5925,3,13,232,3,NO,1486.99
LENOVO,WINDOWS,4,8,SSD,8931,3,13.5,218,3,NO,1929.99
LENOVO,WINDOWS,3,8,SSD,11071,3,14,157,1,NO,499.97
ACER,WINDOWS,2,8,SSD,3968,3,14,157,1,NO,375.79
ASUS,WINDOWS,3,8,SSD,11071,3,14,157,1,NO,569.99
ASUS,WINDOWS,3,8,SSD,6242,3,15.6,141,1,NO,399.99
ASUS,WINDOWS,3,8,SSD,6242,3,14,157,1,NO,349.99
ASUS,WINDOWS,3,8,SSD,6376,3,15.6,141,1,NO,400.4
ASUS,WINDOWS,2,8,SSD,5086,3,14,157,1,NO,429.99
ASUS,WINDOWS,2,8,SSD,6242,3,15.6,141,1,NO,489.99
HP,WINDOWS,3,8,SSD,6242,3,15.6,141,1,NO,449.99
ASUS,WINDOWS,3,8,SSD,3980,3,15.6,141,1,NO,400.42
ASUS,WINDOWS,3,8,SSD,6242,3,15.6,141,1,NO,569.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,549.97
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,629.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,499.97
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,529.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,789.99
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,0,NO,199.97
DYNABOOK,WINDOWS,3,8,SSD,6376,3,14,105,1,NO,339.99
ACER,WINDOWS,3,8,SSD,6242,3,15.6,141,1,NO,399.97
ACER,WINDOWS,3,8,SSD,6242,3,15.6,141,3,NO,419.97
HP,WINDOWS,3,8,SSD,7088,3,15.6,141,1,NO,479.99
HP,WINDOWS,3,8,SSD,7088,3,15.6,141,1,NO,465.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,1030.49
AVITA,WINDOWS,2,8,SSD,7088,3,14,157,1,NO,169.97
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,479.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,499.99
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,469.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,392.49
DELL,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,571.99
ASUS,WINDOWS,3,8,SSD,10076,3,15.6,141,0,NO,434.99
ASUS,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,387.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,711.99
LENOVO,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,655.99
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,469.99
ACER,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,578.49
DELL,WINDOWS,4,8,SSD,10193,3,15.6,141,1,NO,1003.49
DELL,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,714.99
ASUS,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,577.99
HP,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,991.49
DELL,WINDOWS,3,8,SSD,10656,3,15.6,141,1,NO,717.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,594.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,584.99
DELL,WINDOWS,3,8,SSD,10656,3,14,157,1,NO,720.49
FUJITSU,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,553.49
DELL,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,962.49
DYNABOOK,WINDOWS,4,8,SSD,10505,3,14,157,1,NO,788.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,598.99
DELL,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,929.99
HP,WINDOWS,3,8,SSD,10193,3,14,157,3,NO,1061.49
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,3,NO,1001.99
DYNABOOK,WINDOWS,3,8,SSD,17783,3,13.3,166,1,NO,1338.99
DELL,WINDOWS,3,8,SSD,10505,3,13.3,166,1,NO,889.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,819.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,563.99
HP,WINDOWS,3,8,SSD,10193,3,14,157,1,NO,1123.99
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,3,NO,1209.99
HP,WINDOWS,4,8,SSD,10193,3,13.3,166,3,NO,1190.99
DELL,WINDOWS,3,8,SSD,10505,3,13.3,166,1,NO,799.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,718.49
DELL,WINDOWS,3,8,SSD,10505,3,15.6,141,1,NO,832.49
DYNABOOK,WINDOWS,4,8,SSD,17783,3,15.6,141,1,NO,894.99
DYNABOOK,WINDOWS,3,8,SSD,10505,3,14,157,1,NO,1028.99
LENOVO,WINDOWS,3,8,SSD,10076,3,13.3,170,3,NO,1347.49
ACER,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,570.49
FUJITSU,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,701.49
LENOVO,WINDOWS,4,8,SSD,10076,3,14,162,3,NO,1882.49
LENOVO,WINDOWS,4,8,SSD,8931,3,13.5,218,3,NO,1931.99
LENOVO,WINDOWS,3,8,SSD,13897,3,15.6,141,1,NO,838.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,960.99
ACER,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,688.49
LENOVO,WINDOWS,3,8,SSD,13897,3,13.3,170,1,NO,928.49
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,3,NO,1588.99
DYNABOOK,WINDOWS,4,8,SSD,17210,3,14,157,1,NO,962.49
ACER,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,644.99
DELL,WINDOWS,4,8,SSD,10837,3,13.3,166,3,NO,1374.49
FUJITSU,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,724.99
DYNABOOK,WINDOWS,3,8,SSD,17783,3,14,157,1,NO,839.49
HP,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1554.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,960.99
LENOVO,WINDOWS,4,8,SSD,8931,3,13,196,3,NO,1498.49
FUJITSU,WINDOWS,3,8,SSD,10076,3,15.6,141,2,NO,887.49
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,3,NO,958.99
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,3,NO,928.49
HP,WINDOWS,4,8,SSD,10193,3,14,157,1,NO,1038.99
ACER,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,686.99
ASUS,CHROMEOS,4,8,SSD,10076,3,14,157,0,NO,1092.99
ASUS,CHROMEOS,3,8,SSD,8931,3,14,157,0,NO,675.49
LENOVO,WINDOWS,4,8,SSD,10076,3,15.6,141,1,NO,799.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,667.49
OTHER,WINDOWS,4,8,SSD,10505,3,13.3,166,0,NO,1325.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1179.99
OTHER,WINDOWS,3,8,SSD,10076,3,15.6,141,0,NO,888.99
DYNABOOK,WINDOWS,4,8,SSD,17783,3,13.3,166,1,NO,1293.99
OTHER,WINDOWS,3,8,SSD,10076,3,13.3,166,0,NO,1190.49
DELL,WINDOWS,4,8,SSD,10193,3,13.3,166,3,NO,1229.99
DELL,WINDOWS,4,8,SSD,10193,3,14,157,1,NO,1055.99
DYNABOOK,WINDOWS,4,8,SSD,10076,3,13.3,166,1,NO,926.49
DELL,WINDOWS,4,8,SSD,10837,3,15.6,141,1,NO,1199.99
DELL,WINDOWS,4,8,SSD,10837,3,14,157,1,NO,1271.49
DELL,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,944.49
DELL,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,1001.99
ASUS,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,747.99
ASUS,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,866.99
DELL,WINDOWS,3,8,SSD,10505,3,14,157,1,NO,831.49
LENOVO,WINDOWS,3,8,SSD,10076,3,13.3,170,3,NO,1281.49
DELL,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,828.49
HP,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,951.99
DELL,WINDOWS,4,8,SSD,10837,3,14,157,3,NO,1414.49
DYNABOOK,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,637.49
DYNABOOK,WINDOWS,3,8,SSD,17783,3,13.3,166,1,NO,1219.49
DYNABOOK,WINDOWS,3,8,SSD,17783,3,15.6,141,1,NO,849.99
DYNABOOK,WINDOWS,3,8,SSD,17210,3,15.6,141,1,NO,913.99
DELL,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,913.99
DELL,WINDOWS,4,8,SSD,10193,3,14,157,3,NO,1228.49
LENOVO,WINDOWS,3,8,SSD,13897,3,14,162,3,NO,1315.49
DYNABOOK,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,1206.49
DYNABOOK,WINDOWS,4,8,SSD,17783,3,14,157,1,NO,874.99
HP,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,925.49
ACER,WINDOWS,3,8,SSD,10248,3,15.6,141,1,NO,695.49
LENOVO,WINDOWS,4,8,SSD,17783,3,14,162,3,NO,1414.99
LENOVO,WINDOWS,3,8,SSD,13897,3,13.3,170,1,NO,1101.99
DYNABOOK,WINDOWS,3,8,SSD,10505,3,15.6,141,1,NO,693.49
HP,WINDOWS,4,8,SSD,10193,3,14,157,3,NO,1719.99
DYNABOOK,WINDOWS,4,8,SSD,10076,3,13.3,166,1,NO,1078.49
DYNABOOK,WINDOWS,4,8,SSD,17783,3,13.3,166,1,NO,1113.49
DYNABOOK,WINDOWS,3,8,SSD,17210,3,13.3,166,1,NO,1124.49
LENOVO,WINDOWS,4,8,SSD,17783,3,13,196,3,NO,1751.99
LENOVO,WINDOWS,3,8,SSD,13897,3,14,157,1,NO,849.49
DYNABOOK,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,882.99
DYNABOOK,WINDOWS,4,8,SSD,10505,3,13.3,166,1,NO,1030.99
HP,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1529.49
LENOVO,WINDOWS,3,8,SSD,13897,3,15.6,141,1,NO,965.99
LENOVO,WINDOWS,3,8,SSD,13897,3,16,142,3,NO,1250.99
ASUS,WINDOWS,3,8,SSD,10076,3,14,157,0,NO,579.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,592.99
DELL,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,736.99
HP,WINDOWS,4,8,SSD,10193,3,14,157,3,NO,1270.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,668.49
DELL,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,779.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1219.99
HP,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,874.49
LENOVO,WINDOWS,4,8,SSD,10076,3,14,162,3,NO,1607.99
DELL,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,718.49
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,795.49
DYNABOOK,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,754.99
HP,WINDOWS,4,8,SSD,10076,3,14,157,1,NO,927.49
DYNABOOK,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,699.49
HP,WINDOWS,3,8,SSD,10505,3,14,157,3,NO,1125.99
DELL,WINDOWS,4,8,SSD,10193,3,13.3,166,1,NO,1013.99
DELL,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,629.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1232.99
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1371.49
LENOVO,WINDOWS,3,8,SSD,10076,3,15.6,141,1,NO,616.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,616.49
DELL,WINDOWS,3,8,SSD,10505,3,14,157,1,NO,881.99
DELL,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,730.99
HP,WINDOWS,3,8,SSD,10076,3,13,178,3,NO,1925.49
ACER,WINDOWS,2,8,SSD,3056,4,17.3,127,0,NO,399.99
LENOVO,WINDOWS,3,8,SSD,1572,4,15.6,94,1,NO,289.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,836.49
DYNABOOK,WINDOWS,4,8,SSD,10076,3,13.3,166,1,NO,1205.49
HP,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1402.99
DYNABOOK,WINDOWS,3,8,SSD,10505,3,13.3,166,1,NO,828.99
DYNABOOK,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,865.49
HP,WINDOWS,3,8,SSD,10076,3,13.3,166,3,NO,1405.49
DELL,WINDOWS,4,8,SSD,10193,3,15.6,141,1,NO,1107.49
LENOVO,WINDOWS,3,8,SSD,10076,3,13.3,227,3,NO,1348.18
DELL,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1135.49
LENOVO,WINDOWS,3,8,SSD,10076,3,14,157,3,NO,1591.49
DYNABOOK,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,827.49
DYNABOOK,WINDOWS,3,8,SSD,10505,3,15.6,141,1,NO,765.49
DELL,WINDOWS,4,8,SSD,10193,3,14,157,1,NO,1112.99
DELL,WINDOWS,3,8,SSD,10076,3,14,157,1,NO,776.49
DELL,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,1165.49
LENOVO,WINDOWS,4,8,SSD,10076,3,14,176,3,NO,1826.99
LENOVO,WINDOWS,3,8,SSD,10076,3,13.3,166,1,NO,983.99
LENOVO,WINDOWS,3,8,SSD,13181,3,15.6,141,1,NO,581.99
LENOVO,WINDOWS,3,8,SSD,3968,3,15.6,141,1,NO,369.99
LENOVO,WINDOWS,3,8,SSD,15941,3,15.6,141,1,NO,469.99
LENOVO,WINDOWS,3,8,SSD,13181,3,15.6,141,1,NO,561.49
LENOVO,WINDOWS,3,8,SSD,14723,3,14,157,1,NO,797.49
ACER,WINDOWS,3,8,SSD,15232,3,15.6,141,0,NO,493.49
